,d2o 015 By Administrator Date Monday. December 13 2021,
Time,14:16:54,
Wavenumbers [1/cm],Transmittance %,
5853.000,15.0226,
5852.000,14.8989,
5851.000,14.7778,
5850.000,14.6584,
5849.000,14.5391,
5848.000,14.4198,
5847.000,14.3,
5846.000,14.1782,
5845.000,14.0538,
5844.000,13.9288,
5843.000,13.8051,
5842.000,13.6828,
5841.000,13.562,
5840.000,13.4446,
5839.000,13.3312,
5838.000,13.2204,
5837.000,13.1099,
5836.000,12.9993,
5835.000,12.8884,
5834.000,12.7767,
5833.000,12.6655,
5832.000,12.5572,
5831.000,12.4527,
5830.000,12.3512,
5829.000,12.2521,
5828.000,12.1554,
5827.000,12.0591,
5826.000,11.9596,
5825.000,11.8561,
5824.000,11.7516,
5823.000,11.6495,
5822.000,11.5511,
5821.000,11.4575,
5820.000,11.3701,
5819.000,11.2873,
5818.000,11.2038,
5817.000,11.1152,
5816.000,11.021,
5815.000,10.9237,
5814.000,10.8259,
5813.000,10.7302,
5812.000,10.6389,
5811.000,10.5519,
5810.000,10.4668,
5809.000,10.3826,
5808.000,10.3007,
5807.000,10.222,
5806.000,10.145,
5805.000,10.0681,
5804.000,9.99209,
5803.000,9.91743,
5802.000,9.8429,
5801.000,9.76739,
5800.000,9.69235,
5799.000,9.61977,
5798.000,9.5489,
5797.000,9.47713,
5796.000,9.40365,
5795.000,9.33054,
5794.000,9.2602,
5793.000,9.19293,
5792.000,9.12712,
5791.000,9.06121,
5790.000,8.99501,
5789.000,8.92909,
5788.000,8.86354,
5787.000,8.79815,
5786.000,8.73381,
5785.000,8.67238,
5784.000,8.6141,
5783.000,8.55638,
5782.000,8.49666,
5781.000,8.43549,
5780.000,8.37543,
5779.000,8.31767,
5778.000,8.26172,
5777.000,8.20735,
5776.000,8.15439,
5775.000,8.10113,
5774.000,8.04528,
5773.000,7.98704,
5772.000,7.92937,
5771.000,7.87495,
5770.000,7.82436,
5769.000,7.77701,
5768.000,7.73189,
5767.000,7.68738,
5766.000,7.64222,
5765.000,7.59679,
5764.000,7.55197,
5763.000,7.50697,
5762.000,7.46009,
5761.000,7.41172,
5760.000,7.36452,
5759.000,7.32034,
5758.000,7.27877,
5757.000,7.23888,
5756.000,7.20054,
5755.000,7.16328,
5754.000,7.12557,
5753.000,7.08614,
5752.000,7.0452,
5751.000,7.00382,
5750.000,6.96322,
5749.000,6.92459,
