,d2o 166 By Administrator Date Wednesday. December 15 2021,
Time,16:38:58,
Wavenumbers [1/cm],Transmittance %,
6021.000,2.47797,
6020.000,2.46196,
6019.000,2.44742,
6018.000,2.43535,
6017.000,2.42517,
6016.000,2.41605,
6015.000,2.40779,
6014.000,2.39979,
6013.000,2.39056,
6012.000,2.37926,
6011.000,2.36673,
6010.000,2.35394,
6009.000,2.34064,
6008.000,2.32653,
6007.000,2.31289,
6006.000,2.30153,
6005.000,2.29283,
6004.000,2.28595,
6003.000,2.28078,
6002.000,2.27803,
6001.000,2.27716,
6000.000,2.27602,
5999.000,2.27303,
5998.000,2.26875,
5997.000,2.26431,
5996.000,2.25914,
5995.000,2.25167,
5994.000,2.24219,
5993.000,2.23348,
5992.000,2.22771,
5991.000,2.22379,
5990.000,2.21898,
5989.000,2.21266,
5988.000,2.20707,
5987.000,2.20384,
5986.000,2.2018,
5985.000,2.19921,
5984.000,2.19665,
5983.000,2.196,
5982.000,2.19696,
5981.000,2.19689,
5980.000,2.19402,
5979.000,2.18926,
5978.000,2.1843,
5977.000,2.17961,
5976.000,2.17519,
5975.000,2.17168,
5974.000,2.16963,
5973.000,2.16872,
5972.000,2.16872,
5971.000,2.17003,
5970.000,2.17213,
5969.000,2.17278,
5968.000,2.17038,
5967.000,2.16674,
5966.000,2.16533,
5965.000,2.16703,
5964.000,2.16962,
5963.000,2.17122,
5962.000,2.17243,
5961.000,2.1741,
5960.000,2.17491,
5959.000,2.17275,
5958.000,2.16756,
5957.000,2.16155,
5956.000,2.15711,
5955.000,2.15566,
5954.000,2.15801,
5953.000,2.16418,
5952.000,2.1725,
5951.000,2.18006,
5950.000,2.18525,
5949.000,2.18914,
5948.000,2.19389,
5947.000,2.20009,
5946.000,2.20645,
5945.000,2.21155,
5944.000,2.21507,
5943.000,2.21694,
5942.000,2.2165,
5941.000,2.2137,
5940.000,2.21067,
5939.000,2.21095,
5938.000,2.21638,
5937.000,2.22546,
5936.000,2.23499,
5935.000,2.24297,
5934.000,2.24984,
5933.000,2.25689,
5932.000,2.26426,
5931.000,2.27058,
5930.000,2.27462,
