;cavity_after;
Wavenumbers [1/cm];Transmittance;
5926,984;0,06327415;
5925,055;0,06263862;
5923,126;0,06199875;
5921,198;0,06132174;
5919,269;0,06052015;
5917,340;0,05975923;
5915,411;0,05922206;
5913,483;0,05878046;
5911,554;0,05832257;
5909,625;0,05787224;
5907,697;0,05743507;
5905,768;0,05697249;
5903,839;0,05647011;
5901,910;0,05598977;
5899,982;0,05559206;
5898,053;0,05522057;
5896,124;0,05480432;
5894,195;0,05440668;
5892,267;0,05406744;
5890,338;0,05373535;
5888,409;0,05334561;
5886,481;0,05287055;
5884,552;0,05240963;
5882,623;0,05204186;
5880,694;0,05171856;
5878,766;0,05141256;
5876,837;0,05114716;
5874,908;0,05092298;
5872,979;0,05074099;
5871,051;0,05055883;
5869,122;0,05027027;
5867,193;0,04988969;
5865,265;0,04952639;
5863,336;0,04919326;
5861,407;0,04883793;
5859,478;0,04850942;
5857,550;0,0482983;
5855,621;0,04812815;
5853,692;0,04796581;
5851,763;0,04788854;
5849,835;0,04780455;
5847,906;0,0476495;
5845,977;0,04749483;
5844,049;0,04730147;
5842,120;0,04704453;
5840,191;0,04684263;
5838,262;0,04675462;
5836,334;0,04673894;
5834,405;0,04675687;
5832,476;0,04672435;
5830,547;0,04658476;
5828,619;0,0464423;
5826,690;0,0463695;
5824,761;0,04634202;
5822,832;0,04638286;
5820,904;0,04645083;
5818,975;0,04639918;
5817,046;0,04619883;
5815,118;0,04600595;
5813,189;0,04591025;
5811,260;0,04585258;
5809,331;0,04583512;
5807,403;0,04587834;
5805,474;0,04595631;
5803,545;0,04599833;
5801,616;0,04588291;
5799,688;0,04567357;
5797,759;0,04559052;
5795,830;0,04572431;
5793,902;0,04598049;
5791,973;0,04615714;
5790,044;0,04617909;
5788,115;0,04619791;
5786,187;0,04627716;
5784,258;0,04630658;
5782,329;0,04627348;
5780,400;0,04623627;
5778,472;0,04622012;
5776,543;0,04630135;
5774,614;0,04651526;
5772,686;0,04673415;
5770,757;0,04683091;
5768,828;0,04687415;
5766,899;0,04695972;
5764,971;0,04703808;
5763,042;0,04708637;
5761,113;0,04720114;
5759,184;0,04745352;
5757,256;0,04777272;
5755,327;0,04801285;
5753,398;0,0481024;
5751,470;0,04814018;
5749,541;0,04825702;
5747,612;0,0484397;
5745,683;0,04874191;
5743,755;0,04919387;
5741,826;0,04953483;
5739,897;0,04968059;
5737,968;0,04985685;
5736,040;0,05008813;
5734,111;0,05029342;
5732,182;0,05057909;
5730,254;0,05096143;
5728,325;0,05125106;
5726,396;0,05144211;
5724,467;0,05174016;
5722,539;0,05213918;
5720,610;0,05246209;
5718,681;0,05273269;
