,d2o 181 By Administrator Date Thursday. December 16 2021,
Time,14:12:07,
Wavenumbers [1/cm],Transmittance %,
5888.000,10.5876,
5887.000,10.6016,
5886.000,10.6122,
5885.000,10.6173,
5884.000,10.6192,
5883.000,10.6211,
5882.000,10.6235,
5881.000,10.6248,
5880.000,10.6243,
5879.000,10.6225,
5878.000,10.6186,
5877.000,10.6118,
5876.000,10.6023,
5875.000,10.5909,
5874.000,10.5787,
5873.000,10.5663,
5872.000,10.5537,
5871.000,10.5392,
5870.000,10.5205,
5869.000,10.4975,
5868.000,10.473,
5867.000,10.4488,
5866.000,10.4241,
5865.000,10.3975,
5864.000,10.3704,
5863.000,10.3445,
5862.000,10.3189,
5861.000,10.2918,
5860.000,10.2626,
5859.000,10.233,
5858.000,10.2042,
5857.000,10.1766,
5856.000,10.1493,
5855.000,10.1206,
5854.000,10.0892,
5853.000,10.0551,
5852.000,10.0191,
5851.000,9.98109,
5850.000,9.94047,
5849.000,9.89802,
5848.000,9.85608,
5847.000,9.81586,
5846.000,9.77623,
5845.000,9.73574,
5844.000,9.69426,
5843.000,9.65207,
5842.000,9.60903,
5841.000,9.56531,
5840.000,9.52162,
5839.000,9.4781,
5838.000,9.43428,
5837.000,9.39034,
5836.000,9.34675,
5835.000,9.3027,
5834.000,9.25686,
5833.000,9.20993,
5832.000,9.16408,
5831.000,9.11953,
5830.000,9.07392,
5829.000,9.02597,
5828.000,8.97718,
5827.000,8.9291,
5826.000,8.88137,
5825.000,8.83374,
5824.000,8.78765,
5823.000,8.7442,
5822.000,8.70224,
5821.000,8.66005,
5820.000,8.61725,
5819.000,8.57382,
5818.000,8.52902,
5817.000,8.48276,
5816.000,8.43643,
5815.000,8.39094,
5814.000,8.34562,
5813.000,8.30038,
5812.000,8.25711,
5811.000,8.21695,
5810.000,8.17783,
5809.000,8.13691,
5808.000,8.09417,
5807.000,8.05163,
5806.000,8.00974,
5805.000,7.96711,
5804.000,7.92325,
5803.000,7.87943,
5802.000,7.83652,
5801.000,7.79373,
5800.000,7.75021,
5799.000,7.70669,
5798.000,7.66484,
5797.000,7.62515,
5796.000,7.58602,
5795.000,7.54507,
5794.000,7.50154,
5793.000,7.45714,
5792.000,7.41417,
5791.000,7.37333,
5790.000,7.33381,
5789.000,7.29501,
5788.000,7.25665,
5787.000,7.21749,
5786.000,7.17596,
5785.000,7.13241,
5784.000,7.08917,
5783.000,7.04777,
5782.000,7.00757,
5781.000,6.96771,
5780.000,6.9286,
5779.000,6.89036,
5778.000,6.85158,
5777.000,6.81127,
5776.000,6.77105,
5775.000,6.73321,
5774.000,6.69743,
5773.000,6.66096,
5772.000,6.62219,
5771.000,6.58214,
5770.000,6.54231,
5769.000,6.50249,
5768.000,6.46184,
5767.000,6.42101,
5766.000,6.382,
5765.000,6.34566,
5764.000,6.31037,
5763.000,6.27395,
5762.000,6.23627,
5761.000,6.19875,
5760.000,6.16175,
5759.000,6.12383,
5758.000,6.08444,
5757.000,6.04547,
5756.000,6.00895,
5755.000,5.97424,
5754.000,5.93917,
5753.000,5.90294,
