,cavity_after,
Wavenumbers [1/cm],Transmittance,
6291.514,0.139747,
6289.585,0.1420026,
6287.656,0.1443731,
6285.727,0.1466764,
6283.799,0.1488734,
6281.870,0.1511582,
6279.941,0.1535889,
6278.013,0.1559839,
6276.084,0.1582323,
6274.155,0.1603968,
6272.226,0.1625117,
6270.298,0.1646223,
6268.369,0.166802,
6266.440,0.168927,
6264.511,0.1708637,
6262.583,0.1727622,
6260.654,0.1747333,
6258.725,0.1766685,
6256.796,0.1784819,
6254.868,0.1801144,
6252.939,0.1814978,
6251.010,0.1826796,
6249.082,0.1837877,
6247.153,0.1848874,
6245.224,0.1860377,
6243.295,0.187203,
6241.367,0.1880763,
6239.438,0.18858,
6237.509,0.1890945,
6235.580,0.1896624,
6233.652,0.1899126,
6231.723,0.1898972,
6229.794,0.1899159,
6227.866,0.1898689,
6225.937,0.1896193,
6224.008,0.1893134,
6222.079,0.18895,
6220.151,0.1883399,
6218.222,0.187563,
6216.293,0.1868424,
6214.364,0.1860859,
6212.436,0.1850535,
6210.507,0.1837844,
6208.578,0.1825495,
6206.650,0.1813727,
6204.721,0.1799183,
6202.792,0.1781141,
6200.863,0.1762871,
6198.935,0.1745665,
6197.006,0.1728311,
6195.077,0.17107,
6193.148,0.1693656,
6191.220,0.1676842,
6189.291,0.1658381,
6187.362,0.1637577,
6185.434,0.161595,
6183.505,0.159387,
6181.576,0.1571279,
6179.647,0.1549917,
6177.719,0.1529849,
6175.790,0.1508925,
6173.861,0.1486692,
6171.932,0.1464316,
6170.004,0.1442329,
6168.075,0.1420538,
6166.146,0.1398869,
6164.218,0.1377805,
6162.289,0.1356978,
6160.360,0.1334923,
6158.431,0.1312624,
6156.503,0.129198,
6154.574,0.1271452,
6152.645,0.1249441,
6150.716,0.1227139,
6148.788,0.1205913,
6146.859,0.1185968,
6144.930,0.1166296,
6143.001,0.1146712,
6141.073,0.1128626,
6139.144,0.1111583,
6137.215,0.1093807,
6135.287,0.1074738,
6133.358,0.1054869,
6131.429,0.1035731,
6129.500,0.1018401,
6127.572,0.1002419,
6125.643,0.09858734,
6123.714,0.09674484,
6121.785,0.09493865,
6119.857,0.09333754,
6117.928,0.09176971,
6115.999,0.09017395,
6114.071,0.0886464,
6112.142,0.08724291,
6110.213,0.08599991,
6108.284,0.08481782,
6106.356,0.08352137,
6104.427,0.08212087,
6102.498,0.08079187,
6100.569,0.07953657,
6098.641,0.07814213,
6096.712,0.07671594,
6094.783,0.07558251,
6092.855,0.07472267,
6090.926,0.07389254,
6088.997,0.07287423,
6087.068,0.07167047,
6085.140,0.07049591,
6083.211,0.06947247,
6081.282,0.06861264,
6079.353,0.06781293,
6077.425,0.06690383,
6075.496,0.06596317,
6073.567,0.06516335,
6071.639,0.06441737,
6069.710,0.06361454,
6067.781,0.0627834,
6065.852,0.06193084,
6063.924,0.06114729,
6061.995,0.06059826,
6060.066,0.06024688,
6058.137,0.05980323,
6056.209,0.05911941,
6054.280,0.05840508,
6052.351,0.05779487,
6050.423,0.0572231,
6048.494,0.0567045,
6046.565,0.05630884,
6044.636,0.0560234,
6042.708,0.05576201,
6040.779,0.05539972,
6038.850,0.05484579,
6036.921,0.05422475,
6034.993,0.0537641,
6033.064,0.05350345,
6031.135,0.05328348,
6029.206,0.0529859,
6027.278,0.05268297,
6025.349,0.05234968,
6023.420,0.05194275,
6021.492,0.05172852,
6019.563,0.05176473,
6017.634,0.05170881,
6015.705,0.05148742,
6013.777,0.05126505,
6011.848,0.05100856,
6009.919,0.0507704,
6007.990,0.05070892,
6006.062,0.05074338,
6004.133,0.05079723,
6002.204,0.05085135,
6000.276,0.05080861,
5998.347,0.05068675,
5996.418,0.05056567,
5994.489,0.05050423,
5992.561,0.05052961,
5990.632,0.05053794,
5988.703,0.05047939,
5986.774,0.05044655,
5984.846,0.05051516,
5982.917,0.05064883,
5980.988,0.05071238,
5979.060,0.05074598,
5977.131,0.05094034,
5975.202,0.05122325,
5973.273,0.05138147,
5971.345,0.0514198,
5969.416,0.05152076,
5967.487,0.05175684,
5965.558,0.05200887,
5963.630,0.05229053,
5961.701,0.05271676,
5959.772,0.05313077,
5957.844,0.05334268,
5955.915,0.05356132,
5953.986,0.05403301,
5952.057,0.05453764,
5950.129,0.05487773,
5948.200,0.0552238,
5946.271,0.05558003,
5944.342,0.05586275,
5942.414,0.05623527,
5940.485,0.05674828,
5938.556,0.0572849,
5936.627,0.05786745,
5934.699,0.05852188,
5932.770,0.05911715,
5930.841,0.05964025,
5928.913,0.06027334,
5926.984,0.06104878,
5925.055,0.06180055,
5923.126,0.06249269,
5921.198,0.06322345,
5919.269,0.06399743,
5917.340,0.06481221,
5915.411,0.0656805,
5913.483,0.06654447,
5911.554,0.06739837,
5909.625,0.06824826,
5907.697,0.06906494,
5905.768,0.06992918,
5903.839,0.0709632,
5901.910,0.07214643,
5899.982,0.07338528,
5898.053,0.07465801,
5896.124,0.07597779,
5894.195,0.07730658,
