,2-PROPANONE,
Wavenumbers [1/cm],Transmittance,
2762.062,0.8692,
2761.022,0.8701,
2759.982,0.8706,
2758.943,0.871,
2757.903,0.871,
2756.864,0.8712,
2755.824,0.8722,
2754.784,0.8731,
2753.745,0.8736,
2752.705,0.874,
2751.665,0.874,
2750.626,0.8741,
2749.586,0.8751,
2748.546,0.876,
2747.507,0.876,
2746.467,0.8761,
2745.427,0.8766,
2744.388,0.877,
2743.348,0.877,
2742.309,0.8772,
2741.269,0.8782,
2740.229,0.8791,
2739.190,0.8796,
2738.150,0.88,
2737.110,0.88,
2736.071,0.8802,
2735.031,0.8812,
2733.991,0.882,
2732.952,0.882,
2731.912,0.8819,
2730.873,0.8809,
2729.833,0.88,
2728.793,0.88,
2727.754,0.88,
2726.714,0.88,
2725.674,0.88,
2724.635,0.88,
2723.595,0.8799,
2722.555,0.8794,
2721.516,0.879,
2720.476,0.879,
2719.436,0.879,
2718.397,0.879,
2717.357,0.879,
2716.318,0.879,
2715.278,0.8791,
2714.238,0.8796,
2713.199,0.88,
2712.159,0.88,
2711.119,0.88,
2710.080,0.88,
2709.040,0.88,
2708.000,0.88,
2706.961,0.88,
2705.921,0.88,
2704.882,0.88,
2703.842,0.88,
2702.802,0.88,
2701.763,0.88,
2700.723,0.8799,
2699.683,0.8794,
2698.644,0.8789,
2697.604,0.8779,
2696.564,0.877,
2695.525,0.877,
2694.485,0.877,
2693.445,0.877,
2692.406,0.877,
2691.366,0.877,
2690.327,0.877,
2689.287,0.877,
2688.247,0.877,
2687.208,0.877,
2686.168,0.8771,
2685.128,0.8781,
2684.089,0.8792,
2683.049,0.8807,
2682.009,0.8821,
2680.970,0.8826,
2679.930,0.8831,
2678.891,0.8841,
2677.851,0.8851,
2676.811,0.8856,
2675.772,0.886,
2674.732,0.886,
2673.692,0.886,
2672.653,0.886,
2671.613,0.886,
2670.573,0.886,
2669.534,0.886,
2668.494,0.886,
2667.454,0.8859,
2666.415,0.8854,
2665.375,0.8849,
2664.336,0.8839,
2663.296,0.883,
2662.256,0.883,
2661.217,0.8829,
2660.177,0.8824,
2659.137,0.8818,
2658.098,0.8803,
2657.058,0.879,
2656.018,0.879,
2654.979,0.879,
2653.939,0.879,
2652.900,0.879,
2651.860,0.879,
2650.820,0.879,
2649.781,0.879,
2648.741,0.879,
2647.701,0.879,
2646.662,0.879,
2645.622,0.879,
2644.582,0.8789,
2643.543,0.8779,
2642.503,0.877,
2641.463,0.877,
2640.424,0.877,
2639.384,0.877,
2638.345,0.877,
2637.305,0.877,
2636.265,0.877,
2635.226,0.877,
