,cyclohexanone_3um,
Wavenumbers [1/cm],Absorbance,
3454.000,0.0834,
3453.000,0.0836,
3452.000,0.0838,
3451.000,0.084,
3450.000,0.0843,
3449.000,0.0845,
3448.000,0.0848,
3447.000,0.0851,
3446.000,0.0854,
3445.000,0.0858,
3444.000,0.0862,
3443.000,0.0867,
3442.000,0.0872,
3441.000,0.0877,
3440.000,0.0882,
3439.000,0.0888,
3438.000,0.0893,
3437.000,0.0899,
3436.000,0.0906,
3435.000,0.0913,
3434.000,0.0922,
3433.000,0.0931,
3432.000,0.094,
3431.000,0.0951,
3430.000,0.0962,
3429.000,0.0974,
3428.000,0.0987,
3427.000,0.1001,
3426.000,0.1016,
3425.000,0.1032,
3424.000,0.1049,
3423.000,0.1066,
3422.000,0.1085,
3421.000,0.1105,
3420.000,0.1126,
3419.000,0.1148,
3418.000,0.1171,
3417.000,0.1194,
3416.000,0.1218,
3415.000,0.1241,
3414.000,0.1264,
3413.000,0.1286,
3412.000,0.1307,
3411.000,0.1327,
3410.000,0.1344,
3409.000,0.1358,
3408.000,0.137,
3407.000,0.1377,
3406.000,0.138,
3405.000,0.1379,
3404.000,0.1374,
3403.000,0.1364,
3402.000,0.1349,
3401.000,0.133,
3400.000,0.1309,
3399.000,0.1285,
3398.000,0.126,
3397.000,0.1234,
3396.000,0.1207,
3395.000,0.1181,
3394.000,0.1154,
3393.000,0.1129,
3392.000,0.1104,
3391.000,0.1082,
3390.000,0.106,
3389.000,0.1041,
3388.000,0.1023,
3387.000,0.1006,
3386.000,0.0991,
3385.000,0.0976,
3384.000,0.0962,
3383.000,0.0949,
3382.000,0.0937,
3381.000,0.0926,
3380.000,0.0916,
3379.000,0.0906,
3378.000,0.0897,
3377.000,0.0889,
3376.000,0.0882,
3375.000,0.0875,
3374.000,0.0869,
3373.000,0.0863,
3372.000,0.0859,
3371.000,0.0854,
3370.000,0.085,
3369.000,0.0846,
3368.000,0.0843,
3367.000,0.084,
3366.000,0.0837,
3365.000,0.0835,
3364.000,0.0833,
3363.000,0.0831,
3362.000,0.0829,
3361.000,0.0827,
3360.000,0.0825,
3359.000,0.0824,
3358.000,0.0822,
3357.000,0.0821,
3356.000,0.082,
3355.000,0.0819,
3354.000,0.0818,
3353.000,0.0817,
3352.000,0.0816,
3351.000,0.0815,
3350.000,0.0813,
3349.000,0.0812,
3348.000,0.0811,
3347.000,0.081,
3346.000,0.0809,
3345.000,0.0808,
3344.000,0.0806,
3343.000,0.0805,
3342.000,0.0803,
3341.000,0.0802,
3340.000,0.08,
3339.000,0.0798,
3338.000,0.0797,
3337.000,0.0795,
3336.000,0.0794,
3335.000,0.0793,
3334.000,0.0792,
3333.000,0.0791,
3332.000,0.0789,
3331.000,0.0788,
3330.000,0.0787,
3329.000,0.0786,
3328.000,0.0784,
3327.000,0.0783,
3326.000,0.0781,
3325.000,0.078,
3324.000,0.0779,
3323.000,0.0777,
3322.000,0.0776,
3321.000,0.0774,
3320.000,0.0773,
3319.000,0.0772,
3318.000,0.0771,
3317.000,0.077,
3316.000,0.0769,
3315.000,0.0769,
3314.000,0.0768,
3313.000,0.0767,
3312.000,0.0766,
3311.000,0.0766,
3310.000,0.0765,
3309.000,0.0765,
3308.000,0.0764,
3307.000,0.0764,
3306.000,0.0764,
3305.000,0.0763,
3304.000,0.0763,
3303.000,0.0762,
3302.000,0.0762,
3301.000,0.0761,
3300.000,0.0761,
3299.000,0.0761,
3298.000,0.076,
3297.000,0.076,
3296.000,0.076,
3295.000,0.0759,
3294.000,0.0759,
3293.000,0.0759,
3292.000,0.0758,
3291.000,0.0758,
3290.000,0.0758,
3289.000,0.0758,
3288.000,0.0757,
3287.000,0.0758,
3286.000,0.0758,
3285.000,0.0758,
3284.000,0.0758,
3283.000,0.0758,
3282.000,0.0759,
3281.000,0.0759,
3280.000,0.0759,
3279.000,0.0759,
3278.000,0.076,
3277.000,0.0761,
3276.000,0.0761,
3275.000,0.0762,
3274.000,0.0763,
3273.000,0.0763,
3272.000,0.0764,
3271.000,0.0764,
3270.000,0.0765,
3269.000,0.0765,
3268.000,0.0766,
3267.000,0.0767,
3266.000,0.0767,
3265.000,0.0768,
3264.000,0.0768,
3263.000,0.0769,
3262.000,0.077,
3261.000,0.077,
3260.000,0.0771,
3259.000,0.0772,
3258.000,0.0772,
3257.000,0.0773,
3256.000,0.0774,
3255.000,0.0774,
3254.000,0.0775,
3253.000,0.0776,
3252.000,0.0776,
3251.000,0.0777,
3250.000,0.0778,
3249.000,0.0778,
3248.000,0.0779,
3247.000,0.078,
3246.000,0.078,
3245.000,0.078,
3244.000,0.078,
3243.000,0.078,
3242.000,0.0781,
3241.000,0.0781,
3240.000,0.0781,
3239.000,0.0781,
3238.000,0.0781,
3237.000,0.0781,
3236.000,0.0781,
3235.000,0.0781,
3234.000,0.0781,
3233.000,0.078,
3232.000,0.078,
