,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
4096.620,4.093412,
4092.763,4.084571,
4088.905,4.071632,
4085.048,4.054092,
4081.190,4.032079,
4077.333,4.007652,
4073.475,3.984907,
4069.618,3.969157,
4065.760,3.964655,
4061.903,3.972357,
4058.046,3.990205,
4054.188,4.013613,
4050.331,4.037286,
4046.473,4.056413,
4042.616,4.068093,
4038.758,4.070755,
4034.901,4.063341,
4031.043,4.04654,
4027.186,4.022053,
4023.328,3.992901,
4019.471,3.963071,
4015.614,3.93791,
4011.756,3.923764,
4007.899,3.924777,
4004.041,3.938313,
4000.184,3.955134,
3996.326,3.969758,
3992.469,3.984376,
3988.611,4.003736,
3984.754,4.029442,
3980.896,4.059137,
3977.039,4.089725,
3973.181,4.118933,
3969.324,4.144701,
3965.467,4.16343,
3961.609,4.175846,
3957.752,4.183858,
3953.894,4.18424,
3950.037,4.177833,
3946.179,4.172792,
3942.322,4.174932,
3938.464,4.17577,
3934.607,4.166567,
3930.749,4.157439,
3926.892,4.154781,
3923.035,4.149181,
3919.177,4.146751,
3915.320,4.162984,
3911.462,4.169966,
3907.605,4.12559,
3903.747,4.069182,
3899.890,4.076059,
3896.032,4.12034,
3892.175,4.130164,
3888.317,4.111352,
3884.460,4.108041,
3880.603,4.128098,
3876.745,4.129487,
3872.888,4.089558,
3869.030,4.059112,
3865.173,4.077824,
3861.315,4.077967,
3857.458,3.982961,
3853.600,3.914642,
3849.743,4.003463,
3845.885,4.098635,
3842.028,4.064299,
3838.170,4.010438,
3834.313,4.042871,
3830.456,4.106691,
3826.598,4.107423,
3822.741,4.045272,
3818.883,4.008164,
3815.026,4.046252,
3811.168,4.086761,
3807.311,4.056446,
3803.453,4.010029,
3799.596,4.031628,
3795.738,4.107634,
3791.881,4.165979,
3788.024,4.177484,
3784.166,4.164015,
3780.309,4.157841,
3776.451,4.16294,
3772.594,4.154984,
3768.736,4.14228,
3764.879,4.144641,
3761.021,4.134801,
3757.164,4.066552,
3753.306,3.944112,
3749.449,3.849855,
3745.591,3.861194,
3741.734,3.939186,
3737.877,3.984311,
3734.019,4.005943,
3730.162,4.062514,
3726.304,4.119603,
3722.447,4.148011,
3718.589,4.146304,
3714.732,4.101625,
3710.874,4.071749,
3707.017,4.099314,
3703.159,4.13121,
3699.302,4.130203,
3695.445,4.078811,
3691.587,3.98944,
3687.730,3.955799,
3683.872,3.973421,
3680.015,3.915138,
3676.157,3.793984,
3672.300,3.741706,
3668.442,3.788483,
3664.585,3.842701,
3660.727,3.819817,
3656.870,3.72313,
3653.013,3.603475,
3649.155,3.535361,
3645.298,3.557544,
3641.440,3.5952,
3637.583,3.566143,
3633.725,3.473224,
3629.868,3.390785,
3626.010,3.378989,
3622.153,3.390476,
3618.295,3.379381,
3614.438,3.368815,
3610.580,3.376889,
3606.723,3.409401,
3602.866,3.447936,
3599.008,3.467306,
3595.151,3.471281,
3591.293,3.468943,
3587.436,3.481292,
3583.578,3.522274,
3579.721,3.564343,
3575.863,3.579009,
3572.006,3.563705,
3568.148,3.543143,
3564.291,3.552011,
3560.434,3.579428,
3556.576,3.589885,
3552.719,3.579955,
3548.861,3.564484,
3545.004,3.556239,
3541.146,3.556285,
3537.289,3.554332,
3533.431,3.545924,
3529.574,3.53545,
3525.716,3.531361,
3521.859,3.537736,
3518.001,3.548208,
3514.144,3.554941,
3510.287,3.558526,
3506.429,3.564008,
3502.572,3.574937,
3498.714,3.592301,
3494.857,3.613097,
3490.999,3.633937,
3487.142,3.65273,
3483.284,3.668096,
3479.427,3.678329,
3475.569,3.678357,
3471.712,3.662218,
3467.855,3.6262,
3463.997,3.571753,
3460.140,3.511153,
3456.282,3.46645,
3452.425,3.45223,
3448.567,3.460926,
3444.710,3.468948,
3440.852,3.449417,
3436.995,3.382376,
3433.137,3.258206,
3429.280,3.071713,
3425.422,2.820598,
3421.565,2.525212,
3417.708,2.256923,
3413.850,2.124522,
3409.993,2.199392,
3406.135,2.451931,
3402.278,2.781195,
3398.420,3.095856,
3394.563,3.353405,
3390.705,3.548268,
3386.848,3.689678,
3382.990,3.790496,
3379.133,3.86208,
3375.276,3.912257,
3371.418,3.946388,
3367.561,3.968897,
3363.703,3.98444,
3359.846,3.996526,
3355.988,4.006543,
3352.131,4.014147,
3348.273,4.018154,
3344.416,4.018342,
3340.558,4.016301,
3336.701,4.015099,
3332.844,4.01672,
3328.986,4.020056,
3325.129,4.023021,
3321.271,4.024613,
3317.414,4.024515,
3313.556,4.023095,
3309.699,4.021469,
3305.841,4.020104,
