;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
1752,976;0,39491;
1754,905;0,439275;
1756,833;0,492367;
1758,762;0,557011;
1760,690;0,636308;
1762,619;0,733841;
1764,547;0,854741;
1766,476;1,00713;
1768,404;1,2027;
1770,333;1,45482;
1772,261;1,77355;
1774,190;2,15883;
1776,118;2,59528;
1778,047;3,05134;
1779,975;3,48304;
1781,903;3,84086;
1783,832;4,07872;
1785,760;4,16372;
1787,689;4,08477;
1789,617;3,85566;
1791,546;3,51165;
1793,474;3,10106;
1795,403;2,67445;
1797,331;2,27359;
1799,260;1,9236;
1801,188;1,6316;
1803,117;1,3919;
1805,045;1,19413;
1806,974;1,02921;
1808,902;0,89137;
1810,830;0,777079;
1812,759;0,683151;
1814,687;0,605927;
1816,616;0,541762;
1818,544;0,487896;
1820,473;0,442724;
1822,401;0,405245;
1824,330;0,374316;
1826,258;0,348391;
1828,187;0,325891;
1830,115;0,305702;
1832,044;0,287403;
1833,972;0,271014;
1835,901;0,256574;
1837,829;0,243891;
1839,757;0,232607;
1841,686;0,222426;
1843,614;0,213264;
1845,543;0,205188;
1847,471;0,198225;
1849,400;0,192213;
1851,328;0,186824;
1853,257;0,181728;
1855,185;0,176765;
1857,114;0,172;
1859,042;0,167636;
1860,971;0,163847;
1862,899;0,160664;
1864,828;0,157978;
1866,756;0,155641;
1868,684;0,153587;
1870,613;0,151865;
1872,541;0,150572;
1874,470;0,149748;
1876,398;0,149315;
1878,327;0,149115;
1880,255;0,149001;
1882,184;0,148913;
1884,112;0,148879;
1886,041;0,148976;
1887,969;0,149266;
1889,898;0,149792;
1891,826;0,15058;
1893,755;0,151671;
1895,683;0,153125;
1897,611;0,155005;
1899,540;0,157349;
1901,468;0,160154;
1903,397;0,163363;
1905,325;0,16688;
1907,254;0,170603;
1909,182;0,174476;
1911,111;0,178534;
1913,039;0,182921;
1914,968;0,187834;
1916,896;0,193443;
1918,825;0,199836;
1920,753;0,207032;
1922,682;0,215053;
1924,610;0,224003;
1926,538;0,234072;
1928,467;0,245465;
1930,395;0,258314;
1932,324;0,272624;
1934,252;0,288326;
1936,181;0,305389;
1938,109;0,323944;
1940,038;0,344334;
1941,966;0,367114;
1943,895;0,393017;
1945,823;0,422915;
1947,752;0,457802;
1949,680;0,498803;
1951,609;0,547195;
1953,537;0,604497;
1955,465;0,672489;
1957,394;0,753602;
1959,322;0,851009;
1961,251;0,968978;
1963,179;1,11314;
1965,108;1,2906;
1967,036;1,50953;
1968,965;1,7782;
1970,893;2,10299;
1972,822;2,48591;
1974,750;2,92197;
1976,679;3,3974;
1978,607;3,88904;
1980,536;4,36556;
1982,464;4,79008;
1984,392;5,12427;
1986,321;5,33346;
1988,249;5,39254;
1990,178;5,29137;
1992,106;5,03829;
1994,035;4,65984;
1995,963;4,19616;
1997,892;3,69294;
1999,820;3,19271;
2001,749;2,7279;
2003,677;2,31774;
2005,606;1,96903;
2007,534;1,67951;
2009,463;1,44208;
2011,391;1,24816;
2013,319;1,08968;
2015,248;0,959817;
2017,176;0,85303;
2019,105;0,764908;
2021,033;0,691947;
2022,962;0,631328;
2024,890;0,580701;
2026,819;0,53802;
2028,747;0,501522;
2030,676;0,469788;
2032,604;0,441792;
2034,533;0,416842;
2036,461;0,394432;
2038,390;0,374102;
2040,318;0,355429;
2042,246;0,338119;
2044,175;0,322122;
2046,103;0,307624;
2048,032;0,294896;
2049,960;0,284063;
2051,889;0,274964;
2053,817;0,267168;
2055,746;0,260149;
2057,674;0,253495;
2059,603;0,247034;
2061,531;0,240814;
2063,460;0,234995;
2065,388;0,229722;
2067,317;0,225069;
2069,245;0,221051;
2071,173;0,217663;
2073,102;0,21489;
2075,030;0,212689;
2076,959;0,21095;
2078,887;0,209586;
2080,816;0,208488;
2082,744;0,207626;
2084,673;0,207059;
2086,601;0,206852;
2088,530;0,207023;
2090,458;0,207521;
2092,387;0,208274;
2094,315;0,209241;
2096,244;0,210432;
2098,172;0,211879;
2100,101;0,21361;
2102,029;0,215641;
2103,957;0,218014;
2105,886;0,220807;
2107,814;0,224106;
2109,743;0,227956;
2111,671;0,232339;
2113,600;0,237197;
2115,528;0,242485;
2117,457;0,248214;
