,cavity_after2,
Wavenumbers [1/cm],Transmittance %,
5680.000,6.24,
5679.000,6.24,
5678.000,6.24,
5677.000,6.24,
5676.000,6.24,
5675.000,6.24,
5674.000,6.24,
5673.000,6.25,
5672.000,6.26,
5671.000,6.28,
5670.000,6.3,
5669.000,6.31,
5668.000,6.34,
5667.000,6.36,
5666.000,6.39,
5665.000,6.42,
5664.000,6.44,
5663.000,6.47,
5662.000,6.5,
5661.000,6.53,
5660.000,6.56,
5659.000,6.6,
5658.000,6.65,
5657.000,6.69,
5656.000,6.73,
5655.000,6.78,
5654.000,6.82,
5653.000,6.87,
5652.000,6.93,
5651.000,6.98,
5650.000,7.04,
5649.000,7.09,
5648.000,7.15,
5647.000,7.21,
5646.000,7.26,
5645.000,7.33,
5644.000,7.39,
5643.000,7.46,
5642.000,7.52,
5641.000,7.59,
5640.000,7.66,
5639.000,7.73,
5638.000,7.8,
5637.000,7.87,
5636.000,7.94,
5635.000,8.02,
5634.000,8.09,
5633.000,8.17,
5632.000,8.25,
5631.000,8.32,
5630.000,8.4,
5629.000,8.48,
5628.000,8.56,
5627.000,8.64,
5626.000,8.73,
5625.000,8.81,
5624.000,8.9,
5623.000,8.99,
5622.000,9.08,
5621.000,9.16,
5620.000,9.25,
5619.000,9.34,
5618.000,9.44,
5617.000,9.53,
5616.000,9.63,
5615.000,9.72,
