,d2o 061 By Administrator Date Tuesday. December 14 2021,
Time,16:57:50,
Wavenumbers [1/cm],Transmittance %,
6308.000,2.74515,
6307.000,2.73731,
6306.000,2.7313,
6305.000,2.7266,
6304.000,2.72248,
6303.000,2.71939,
6302.000,2.71844,
6301.000,2.72024,
6300.000,2.72424,
6299.000,2.72878,
6298.000,2.73234,
6297.000,2.73525,
6296.000,2.73931,
6295.000,2.74517,
6294.000,2.7514,
6293.000,2.7568,
6292.000,2.76237,
6291.000,2.7696,
6290.000,2.77772,
6289.000,2.78415,
6288.000,2.7874,
6287.000,2.78868,
6286.000,2.7905,
6285.000,2.79454,
6284.000,2.80037,
6283.000,2.80611,
6282.000,2.81046,
6281.000,2.81438,
6280.000,2.82026,
6279.000,2.82938,
6278.000,2.841,
6277.000,2.85388,
6276.000,2.86747,
6275.000,2.88121,
6274.000,2.89395,
6273.000,2.90468,
6272.000,2.91329,
6271.000,2.92033,
6270.000,2.92729,
6269.000,2.93668,
6268.000,2.95007,
6267.000,2.96583,
6266.000,2.98072,
6265.000,2.99407,
6264.000,3.00796,
6263.000,3.02283,
6262.000,3.0361,
6261.000,3.04674,
6260.000,3.05787,
6259.000,3.07241,
6258.000,3.08864,
6257.000,3.10313,
6256.000,3.11618,
6255.000,3.13052,
6254.000,3.14634,
6253.000,3.1615,
6252.000,3.17647,
6251.000,3.19484,
6250.000,3.21762,
6249.000,3.24054,
6248.000,3.25843,
6247.000,3.27083,
6246.000,3.28154,
6245.000,3.29428,
6244.000,3.30999,
6243.000,3.32771,
6242.000,3.34633,
6241.000,3.36534,
6240.000,3.38453,
6239.000,3.40354,
6238.000,3.42231,
6237.000,3.44205,
6236.000,3.46491,
6235.000,3.49187,
6234.000,3.52123,
6233.000,3.54987,
6232.000,3.57562,
6231.000,3.59818,
6230.000,3.61853,
6229.000,3.63828,
6228.000,3.65889,
6227.000,3.68072,
6226.000,3.70326,
6225.000,3.72658,
6224.000,3.7517,
6223.000,3.77869,
6222.000,3.80602,
6221.000,3.83284,
6220.000,3.86078,
6219.000,3.89161,
6218.000,3.92431,
6217.000,3.95625,
6216.000,3.98652,
6215.000,4.016,
6214.000,4.04459,
6213.000,4.07064,
6212.000,4.09351,
6211.000,4.11521,
6210.000,4.13903,
6209.000,4.16728,
6208.000,4.20032,
6207.000,4.2366,
6206.000,4.27331,
6205.000,4.30811,
6204.000,4.34026,
6203.000,4.37007,
6202.000,4.39781,
6201.000,4.42423,
6200.000,4.4517,
6199.000,4.4831,
6198.000,4.51922,
6197.000,4.55786,
6196.000,4.59589,
6195.000,4.63162,
6194.000,4.66543,
6193.000,4.69857,
6192.000,4.73193,
6191.000,4.76592,
6190.000,4.80138,
6189.000,4.83962,
6188.000,4.88046,
6187.000,4.92095,
6186.000,4.95791,
6185.000,4.99194,
6184.000,5.02708,
6183.000,5.06617,
6182.000,5.1084,
6181.000,5.15174,
6180.000,5.19549,
6179.000,5.23878,
6178.000,5.27927,
6177.000,5.3155,
6176.000,5.34956,
6175.000,5.3857,
6174.000,5.42663,
6173.000,5.4725,
6172.000,5.52167,
6171.000,5.57131,
6170.000,5.6185,
6169.000,5.66236,
6168.000,5.70466,
6167.000,5.74714,
6166.000,5.78991,
6165.000,5.83333,
6164.000,5.87939,
6163.000,5.9294,
6162.000,5.98133,
6161.000,6.03216,
6160.000,6.08158,
6159.000,6.13159,
