,d2o 048 By Administrator Date Tuesday. December 14 2021,
Time,14:31:46,
Wavenumbers [1/cm],Transmittance %,
6119.000,3.06263,
6118.000,3.04866,
6117.000,3.03598,
6116.000,3.02398,
6115.000,3.01244,
6114.000,3.0014,
6113.000,2.99051,
6112.000,2.979,
6111.000,2.96664,
6110.000,2.9544,
6109.000,2.94313,
6108.000,2.9321,
6107.000,2.92019,
6106.000,2.90821,
6105.000,2.89827,
6104.000,2.89063,
6103.000,2.88325,
6102.000,2.87486,
6101.000,2.86616,
6100.000,2.85691,
6099.000,2.84483,
6098.000,2.82938,
6097.000,2.8144,
6096.000,2.8044,
6095.000,2.7995,
6094.000,2.79654,
6093.000,2.79377,
6092.000,2.79141,
6091.000,2.78844,
6090.000,2.78214,
6089.000,2.77173,
6088.000,2.75977,
6087.000,2.7493,
6086.000,2.74104,
6085.000,2.73403,
6084.000,2.72757,
6083.000,2.7218,
6082.000,2.71722,
6081.000,2.71405,
6080.000,2.71161,
6079.000,2.70848,
6078.000,2.70401,
6077.000,2.69914,
6076.000,2.69506,
6075.000,2.69152,
6074.000,2.68766,
6073.000,2.68372,
6072.000,2.68052,
6071.000,2.67791,
6070.000,2.67503,
6069.000,2.67186,
6068.000,2.66907,
6067.000,2.66673,
6066.000,2.66448,
6065.000,2.66243,
6064.000,2.66053,
6063.000,2.65774,
6062.000,2.65356,
6061.000,2.64979,
6060.000,2.64911,
6059.000,2.65202,
6058.000,2.65694,
6057.000,2.66279,
6056.000,2.66926,
6055.000,2.67462,
6054.000,2.67599,
6053.000,2.6726,
6052.000,2.66694,
6051.000,2.662,
6050.000,2.6588,
6049.000,2.65727,
6048.000,2.65776,
6047.000,2.66047,
6046.000,2.66485,
6045.000,2.67029,
6044.000,2.67656,
6043.000,2.6829,
6042.000,2.68802,
6041.000,2.69114,
6040.000,2.69231,
6039.000,2.69149,
6038.000,2.68904,
6037.000,2.68735,
6036.000,2.69003,
6035.000,2.69832,
6034.000,2.70947,
6033.000,2.71995,
6032.000,2.72877,
6031.000,2.73674,
6030.000,2.74398,
6029.000,2.74997,
6028.000,2.75524,
6027.000,2.76122,
6026.000,2.76861,
6025.000,2.77693,
6024.000,2.78554,
6023.000,2.79421,
6022.000,2.803,
6021.000,2.81218,
6020.000,2.82192,
6019.000,2.83165,
6018.000,2.84025,
6017.000,2.84775,
6016.000,2.85597,
6015.000,2.86653,
6014.000,2.87858,
6013.000,2.88976,
6012.000,2.89917,
6011.000,2.90823,
6010.000,2.91832,
6009.000,2.92915,
6008.000,2.94008,
6007.000,2.95171,
6006.000,2.96502,
6005.000,2.97936,
6004.000,2.99263,
6003.000,3.00367,
6002.000,3.01365,
6001.000,3.02448,
6000.000,3.03685,
5999.000,3.05032,
5998.000,3.06491,
5997.000,3.08124,
5996.000,3.09896,
5995.000,3.11609,
5994.000,3.13063,
5993.000,3.1425,
5992.000,3.15346,
5991.000,3.16547,
5990.000,3.17951,
5989.000,3.19546,
5988.000,3.21257,
5987.000,3.22984,
5986.000,3.24641,
5985.000,3.26155,
5984.000,3.27478,
5983.000,3.28647,
5982.000,3.29819,
5981.000,3.31145,
5980.000,3.32589,
5979.000,3.33947,
5978.000,3.35096,
5977.000,3.36149,
5976.000,3.37293,
5975.000,3.3858,
5974.000,3.39941,
5973.000,3.41329,
5972.000,3.42784,
5971.000,3.44365,
5970.000,3.46084,
5969.000,3.47865,
5968.000,3.49579,
5967.000,3.51181,
5966.000,3.52791,
5965.000,3.54518,
5964.000,3.56225,
5963.000,3.57667,
5962.000,3.58883,
5961.000,3.60193,
5960.000,3.61725,
5959.000,3.6319,
5958.000,3.64328,
5957.000,3.65337,
5956.000,3.66595,
5955.000,3.68137,
5954.000,3.69688,
5953.000,3.71115,
5952.000,3.72542,
5951.000,3.7406,
5950.000,3.75638,
5949.000,3.77322,
5948.000,3.79244,
5947.000,3.81413,
5946.000,3.83676,
5945.000,3.85925,
5944.000,3.88129,
5943.000,3.90194,
5942.000,3.92009,
5941.000,3.93684,
5940.000,3.95478,
5939.000,3.9745,
5938.000,3.99407,
5937.000,4.01244,
5936.000,4.0313,
5935.000,4.05244,
5934.000,4.07545,
5933.000,4.0992,
5932.000,4.1239,
5931.000,4.15037,
5930.000,4.17843,
5929.000,4.20718,
5928.000,4.23608,
5927.000,4.26491,
5926.000,4.29326,
5925.000,4.32069,
5924.000,4.34685,
5923.000,4.37139,
5922.000,4.39453,
5921.000,4.41778,
5920.000,4.44312,
5919.000,4.47132,
5918.000,4.50175,
5917.000,4.53342,
5916.000,4.56522,
5915.000,4.59571,
5914.000,4.62425,
5913.000,4.65209,
5912.000,4.68065,
5911.000,4.70946,
5910.000,4.73748,
5909.000,4.76597,
5908.000,4.79728,
5907.000,4.83094,
5906.000,4.86396,
5905.000,4.8953,
5904.000,4.92728,
5903.000,4.96143,
5902.000,4.99562,
5901.000,5.02727,
5900.000,5.05719,
5899.000,5.08819,
5898.000,5.12138,
5897.000,5.15579,
5896.000,5.19072,
5895.000,5.22678,
5894.000,5.26482,
5893.000,5.30495,
